target,inputs,num_large,num_solutions
892,100;100;25;25;8;2,4,12
376,4;7;8;9;4;10,0,38
938,75;7;2;5;3;3,1,12
865,100;50;9;10;4;3,2,7
675,25;25;9;3;10;8,2,180
592,4;6;9;3;9;1,0,2
386,6;2;10;10;4;7,0,36
850,75;9;6;1;8;6,1,3
493,25;25;25;100;9;4,4,0
610,7;8;10;2;7;2,0,27
558,25;100;75;75;9;4,4,1
497,50;1;10;7;6;4,1,193
664,25;50;50;2;9;2,3,30
962,75;50;25;50;5;5,4,0
872,75;100;25;2;10;1,3,131
493,100;50;8;2;3;6,2,139
394,100;25;50;75;3;6,4,312
306,9;1;7;3;2;8,0,168
591,100;50;75;2;8;10,3,29
296,75;75;10;10;1;5,2,11
576,50;100;50;6;10;2,3,51
874,50;75;75;3;2;9,3,2
941,75;4;10;5;1;6,1,7
690,50;75;100;1;4;10,3,35
354,75;100;10;6;4;5,2,141
482,50;25;50;9;2;3,3,4
749,25;100;25;9;9;10,3,26
455,75;75;100;5;9;6,3,77
462,75;100;3;3;7;4,2,102
377,75;100;100;1;4;10,3,1
487,25;1;10;2;9;10,1,9
975,75;75;50;8;7;5,3,69
273,6;10;5;1;7;1,0,16
747,75;3;9;10;5;9,1,142
124,10;4;1;7;5;7,0,126
238,100;100;6;10;9;1,2,10
785,100;50;50;9;1;9,3,0
205,50;1;7;4;10;6,1,147
579,1;9;6;6;9;2,0,4
105,100;6;7;5;3;10,1,2538
104,75;2;4;10;6;3,1,843
920,100;100;9;2;3;7,2,29
137,50;50;25;100;2;4,4,31
687,100;25;75;1;8;4,3,32
494,50;25;7;6;7;6,2,43
305,100;25;50;7;6;2,3,290
931,8;10;8;9;6;2,0,1
185,25;100;75;75;8;8,4,14
417,100;25;25;8;8;6,3,47
957,75;100;4;2;10;2,2,10
756,25;25;50;3;3;2,3,21
917,50;100;5;3;6;9,2,53
157,75;75;8;6;2;2,2,99
896,100;50;100;100;9;1,4,1
479,25;75;75;25;4;4,4,22
258,75;25;25;4;5;7,3,43
651,8;10;7;5;6;8,0,15
649,50;100;25;5;4;10,3,32
951,75;100;4;1;2;10,2,51
104,100;100;75;75;10;8,4,15
549,25;75;75;25;9;7,4,3
764,75;75;75;50;1;5,4,3
551,50;25;25;5;8;10,3,1
575,25;100;75;100;8;8,4,72
466,50;100;25;75;6;3,4,8
993,25;25;8;1;2;10,2,12
285,3;9;6;1;4;3,0,23
901,25;50;100;7;2;3,3,10
705,75;100;25;75;6;3,4,2
683,25;100;25;50;1;5,4,0
375,100;25;75;50;7;10,4,456
325,9;5;1;2;6;1,0,17
638,25;25;50;75;9;7,4,85
381,50;10;5;7;4;8,1,127
725,75;25;50;75;10;5,4,265
218,25;25;3;10;5;4,2,122
206,10;7;6;3;7;6,0,31
862,50;25;100;100;9;6,4,2
540,50;75;25;50;8;8,4,19
882,75;50;9;8;9;8,2,16
732,75;75;50;50;8;3,4,0
198,50;75;75;50;10;10,4,18
436,2;8;1;9;4;9,0,16
621,75;100;50;5;3;7,3,117
965,25;25;9;5;6;4,2,10
513,25;50;50;75;1;8,4,0
384,100;25;25;10;7;10,3,0
388,50;100;6;1;4;9,2,137
790,7;8;7;4;7;9,0,2
167,1;3;1;1;4;9,0,0
893,100;50;5;7;1;4,2,44
623,100;10;3;1;7;10,1,22
733,25;75;100;100;5;4,4,2
380,1;6;3;8;8;9,0,25
600,75;75;75;7;6;4,3,64
107,25;25;50;7;8;1,3,312
809,75;25;75;2;8;8,3,10
178,100;50;100;1;6;5,3,6
243,50;75;100;100;2;2,4,0
872,75;25;2;4;5;3,2,78
377,100;50;4;8;7;2,2,112
381,25;25;25;5;3;7,3,20
404,100;50;9;2;5;10,2,24
839,50;75;100;3;8;1,3,4
268,75;50;50;75;1;9,4,0
982,100;25;100;75;8;4,4,14
783,25;5;9;4;3;3,1,83
265,25;25;50;4;3;10,3,205
350,50;100;6;4;3;3,2,308
393,3;10;9;1;3;9,0,3
618,100;50;50;100;8;3,4,5
783,50;50;25;9;9;4,3,16
945,25;50;25;100;9;9,4,2
959,100;75;5;5;1;2,2,3
647,50;9;5;4;7;3,1,19
893,75;75;2;5;4;7,2,37
739,25;100;25;2;6;1,3,7
263,100;25;10;9;5;10,2,19
302,25;25;100;2;1;2,3,130
437,75;75;3;10;8;9,2,19
958,10;3;4;9;5;7,0,1
448,9;8;7;3;1;6,0,97
991,50;75;25;50;7;7,4,0
194,100;50;75;1;4;5,3,109
743,25;6;10;7;6;4,1,32
632,75;9;6;8;10;3,1,167
899,50;100;100;75;5;7,4,1
874,75;100;9;1;7;10,2,48
429,1;10;10;1;6;1,0,0
292,25;25;2;7;4;8,2,101
733,50;25;10;4;1;1,2,0
879,75;75;75;7;2;3,3,16
743,1;5;8;10;5;2,0,0
834,25;25;50;9;5;10,3,21
835,100;100;2;1;3;4,2,4
938,75;50;25;8;10;4,3,21
709,8;3;2;2;1;9,0,0
334,50;9;10;8;5;2,1,100
281,100;50;5;9;7;3,2,83
492,100;3;2;5;5;6,1,130
701,25;50;25;6;4;6,3,4
688,75;1;9;2;9;9,1,6
457,50;4;4;6;2;10,1,4
359,25;5;1;5;4;3,1,41
804,75;25;50;6;6;4,3,10
377,25;75;75;3;3;3,3,0
191,1;10;1;3;6;9,0,62
189,75;25;2;6;1;1,2,40
528,100;25;10;5;6;3,2,170
287,100;100;25;8;5;5,3,4
141,25;4;2;1;7;4,1,63
814,75;100;75;100;3;6,4,0
727,100;5;6;2;3;6,1,5
824,75;25;25;4;2;6,3,14
280,100;8;10;7;8;4,1,609
612,100;50;8;1;1;9,2,11
508,100;75;8;3;2;5,2,112
732,50;100;25;75;8;6,4,22
930,2;2;6;10;8;6,0,6
869,100;100;25;25;1;9,4,0
574,75;75;50;9;9;1,3,6
582,5;7;7;8;10;1,0,11
381,50;75;75;75;1;2,4,0
783,75;5;1;10;3;9,1,93
661,25;100;50;9;9;8,3,0
204,25;100;3;6;9;6,2,109
257,100;7;8;7;3;8,1,24
680,25;50;100;75;10;10,4,42
582,50;50;50;100;2;1,4,0
991,25;2;10;5;10;6,1,0
547,25;25;10;9;4;3,2,71
932,75;50;75;4;7;5,3,27
425,75;4;8;8;6;2,1,16
627,75;75;25;3;7;5,3,135
155,25;50;5;3;6;2,2,437
276,100;100;1;5;5;10,2,11
497,10;6;7;6;8;10,0,15
568,2;2;8;6;1;10,0,6
563,75;50;75;75;9;4,4,0
863,25;75;25;25;4;1,4,0
321,50;6;9;3;3;1,1,57
265,25;1;5;10;8;3,1,243
926,75;8;3;4;10;4,1,26
793,7;3;6;6;7;10,0,13
655,1;10;5;7;2;7,0,1
